Date,GTJPYII5Y.Govt,GTJPYII10Y.Govt,JPCPIXFF.Index,JNCPIYOY.Index,GJGB40.Index,GJGB30.Index,GJGB10.Index,GJGB5.Index,GJGB2.Index,GJGB1.Index,GJGB3M.Index,TI0003M.Index,JPINGAA5.Index,JPINGAA1.Index,JPINGAA3.Index
2000-11-29,,,,,,2.504,1.677,0.98,0.485,0.42,0.405,0.59071,,,
2000-11-30,,,-0.5,-0.5,,2.463,1.622,0.94,0.48,0.43,0.407,0.59071,,,
2000-12-01,,,,,,2.476,1.636,0.94,0.49,0.44,0.406,0.59143,,,
2000-12-04,,,,,,2.5,1.646,0.985,0.545,0.44,0.401,0.59214,,,
2000-12-05,,,,,,2.499,1.606,0.955,0.545,0.445,0.402,0.59214,,,
2000-12-06,,,,,,2.569,1.63,0.97,0.555,0.465,0.401,0.59286,,,
2000-12-07,,,,,,2.544,1.57,0.915,0.53,0.455,0.401,0.59429,,,
2000-12-08,,,,,,2.558,1.596,0.945,0.555,0.465,0.401,0.59714,,,
2000-12-11,,,,,,2.59,1.642,1.025,0.62,0.525,0.429,0.62714,,,
2000-12-12,,,,,,2.588,1.647,1.02,0.61,0.515,0.44,0.64643,,,
2000-12-13,,,,,,2.611,1.696,1.055,0.605,0.505,0.444,0.62786,,,
2000-12-14,,,,,,2.578,1.661,1.02,0.57,0.485,0.457,0.63,,,
2000-12-15,,,,,,2.554,1.647,1.02,0.555,0.48,0.455,0.63929,,,
2000-12-18,,,,,,2.6,1.689,1.05,0.555,0.48,0.459,0.64429,,,
2000-12-19,,,,,,2.586,1.652,1.015,0.54,0.475,0.468,0.64714,,,
2000-12-20,,,,,,2.555,1.583,0.96,0.52,0.465,0.518,0.64786,,,
2000-12-21,,,,,,2.515,1.54,0.92,0.505,0.455,0.566,0.64857,,,
2000-12-22,,,,,,2.539,1.577,0.925,0.485,0.425,0.567,0.64714,,,
2000-12-25,,,,,,2.555,1.612,0.945,0.485,0.425,0.644,0.64929,,,
2000-12-26,,,,,,2.543,1.612,0.935,0.48,0.425,0.569,0.65857,,,
2000-12-27,,,,,,2.526,1.597,0.925,0.47,0.41,0.438,0.66857,,,
