Date,USDSGD.Curncy,EURUSD.Curncy,USDJPY.Curncy,EURJPY.Curncy,EURGBP.Curncy,BCOM.Index,STI.Index,USGG10YR.Index,MASB2Y.Index,MASB5Y.Index,MASB10Y.Index,SDBS10.Curncy,SGD3M.Curncy,SDO3M.Curncy,CTTWBRSG.Index,CTTWBSGD.Index,USDSGDV3M.Curncy,USDSGDV6M.Curncy,USDSGDV1Y.Curncy,EURUSDV3M.Curncy,EURUSDV6M.Curncy,EURUSDV1Y.Curncy,USDJPYV3M.Curncy,USDJPYV6M.Curncy,USDJPYV1Y.Curncy,SDSOAA.Curncy,SDSOAC.Curncy,SIBF1M.Index,SIBF3M.Index,EUR003M.Index,USOSFRA.Curncy,USOSFRC.Curncy,US0001M.Index,US0003M.Index,SIBCSORA.Index,FEDL01.Index,SOFRRATE.Index,US00O.N.Index,EUBS1.Curncy,JYBS1.Curncy,XAUUSD.Curncy,GDBR10.Index,SDSOA5.Curncy,SDSW5.Curncy,SDSOA10.Curncy,SDSW10.Curncy,VIX.Index,VIX3M.Index,V2X.Index,MOVE.Index,DXY.Curncy,DBS.SP.Equity,OCBC.SP.Equity,UOB.SP.Equity,EUXOQQ1.BGN.Curncy,JYBSS12M.Curncy
2013-05-02,1.2352,1.3065,97.94,127.95,0.84096,131.5975,3402.39,1.6255,0.193,0.465,1.3777,-25.5,-0.6,-0.5,100.2571,97.6182,3.9325,4.3425,4.87,8.1175,8.36,8.8025,11.46,11.205,10.96,,,0.30625,0.37083,0.207,0.1706,0.1662,0.1982,0.2731,0.0804,0.15,,0.15,-21.5,-19,1467.07,1.165,,0.78,,1.64,13.59,14.87,18.7486,49.6275,82.224,15.927,10.614,22,,
2013-05-03,1.234,1.3114,98.99,129.84,0.84211,133.1178,3369.9,1.7382,0.192,0.463,1.3847,-26.52,-0.47,-0.55,100.2456,97.6038,3.9625,4.345,4.875,7.845,8.195,8.555,11.62,11.36,11.065,,,0.30625,0.37083,0.201,0.1686,0.1647,0.1982,0.2751,0.0881,0.14,,0.15,-20.8,-19,1470.75,1.24,,0.788,,1.6445,12.85,14.45,17.6329,49.0404,82.125,15.818,10.497,21.8,,
2013-05-06,1.2311,1.3076,99.33,129.88,0.84143,132.6981,3382.29,1.7588,0.204,0.492,1.4716,-25.5,-0.8,-0.85,100.3934,97.7382,3.9375,4.275,4.79,7.9175,8.2325,8.6125,12.0025,11.7575,11.37,,,0.30625,0.37167,0.202,0.1693,0.1627,,,0.0766,0.14,,,-20.8,-19.25,1469.46,1.243,,0.825,,1.7025,12.66,14.31,18.0551,49.4904,82.315,15.864,10.546,21.55,,
2013-05-07,1.232,1.3079,99,129.48,0.84469,132.0273,3383.16,1.7778,0.204,0.492,1.4723,-26.745,-0.4,-0.75,100.2895,97.6339,3.6125,3.9925,4.545,7.8725,8.24,8.63,11.975,11.6975,11.2475,,,0.30625,0.37167,0.202,0.1693,0.1627,0.1992,0.2751,0.0355,0.12,,0.1485,-20,-17.75,1452.7,1.298,,0.823,,1.7025,12.83,14.35,17.4472,51.0928,82.253,15.827,10.643,21.53,,
2013-05-08,1.2274,1.3153,99.01,130.22,0.84671,132.9375,3413.02,1.7665,0.21,0.492,1.4697,-26.25,-0.5,-0.75,100.3233,97.6637,3.555,3.955,4.45,7.7725,8.1575,8.545,11.705,11.455,11.185,,,0.30625,0.37167,0.203,0.1646,0.1627,0.1992,0.2751,0.0387,0.12,,0.1485,-19.5,-17,1473.94,1.269,,0.83,,1.715,12.66,14.4,17.3575,49.3141,81.896,16.091,10.701,21.8,,
2013-05-09,1.2336,1.3043,100.59,131.21,0.84415,133.384,3432.78,1.8109,0.209,0.483,1.4234,-24.5,-0.65,-0.9,100.396,97.7313,3.535,3.9625,4.46,8.01,8.285,8.705,12.6525,12.1775,11.7575,,,0.30583,0.37167,0.203,0.1672,0.1632,0.1992,0.2751,0.0334,0.12,,0.1475,-19.5,-16.9,1458.15,1.27,,0.82,,1.6955,13.13,14.81,17.2186,48.8695,82.793,16.091,10.77,22,,
2013-05-10,1.2383,1.2989,101.62,132,0.84567,131.9441,3443.77,1.8973,0.209,0.496,1.4721,-23,-0.8,-0.75,100.4555,97.7861,4.01,4.2275,4.64,8.3475,8.5425,8.8925,12.4,12.105,11.8125,,,0.30583,0.37167,0.203,0.1666,0.1637,0.1992,0.2751,0.0244,0.12,,0.146,-18.5,-16.75,1448.55,1.38,,0.874,,1.7925,12.59,14.71,17.4277,55.3227,83.143,16.273,10.789,21.86,,
2013-05-13,1.2416,1.2975,101.82,132.12,0.8481,132.1976,3428.96,1.9199,0.215,0.512,1.4762,-23,-0.6,-0.82,100.3383,97.6625,4.24,4.4575,4.875,8.2925,8.5475,8.8325,11.8625,11.705,11.4325,,,0.30583,0.37167,0.203,0.1656,0.1622,0.1992,0.2751,0.0273,0.12,,0.1465,-19,-16.892,1430.59,1.356,,0.915,,1.83,12.55,15.05,17.6724,56.5094,83.277,15.9,10.779,21.74,,
2013-05-14,1.2433,1.292,102.42,132.32,0.84951,131.9191,3432.76,1.974,0.209,0.51,1.464,-23.045,-1,-0.9,100.3668,97.6872,4.13,4.405,4.7625,8.365,8.58,8.85,12.32,12.105,11.885,,,0.30583,0.37167,0.203,0.1656,0.1632,0.1982,0.2741,0.0262,0.11,,0.146,-19,-16.5,1425.46,1.374,,0.9055,,1.8255,12.77,14.98,17.1365,57.7357,83.595,15.891,10.711,21.79,,
2013-05-15,1.246,1.2887,102.25,131.76,0.8458,131.2985,3441.53,1.9347,0.203,0.508,1.47,-22.8,-1,-0.8,100.2691,97.5889,4.605,4.7325,4.985,8.755,8.955,9.235,12.1625,11.96,11.7525,,,0.30583,0.3725,0.203,0.1641,0.1642,0.1982,0.2741,0.0268,0.12,,0.145,-20,-16.376,1393.03,1.382,,0.9175,,1.8525,12.81,15.05,16.639,58.2848,83.83,15.8,10.838,22,,
