Date,SPX.Index,STI.Index,FBMKLCI.Index,JCI.Index,SET.Index,PCOMP.Index
2000-06-20,1475.95,2042.66,812.62,490.121,339.77,1560.4
2000-06-21,1479.13,2070.89,835.19,494.492,338.12,1555.62
2000-06-22,1452.18,2065.13,822.59,501.809,334.03,1545.9
2000-06-23,1441.48,2069.63,812.25,503.145,333.31,1542.97
2000-06-26,1455.31,2067.74,803.87,507.505,330.73,1532.24
2000-06-27,1450.55,2080.69,817.42,502.051,334.18,1529.37
2000-06-28,1454.82,2107.26,841.54,510.118,334.48,1531.01
2000-06-29,1442.39,2098.88,830.25,512.597,323.35,1532.74
2000-06-30,1454.6,2088.85,833.37,515.11,325.69,1533.99
2000-07-03,1469.54,2126.21,793.93,503.856,319.26,1535.65
2000-07-04,,2119.56,807.87,509.264,316.66,1538.88
2000-07-05,1446.23,2122.17,818.69,512.466,322.85,1539.92
2000-07-06,1456.67,2103.56,815.68,513.431,318.42,1542.41
2000-07-07,1478.9,2124.89,820.47,508.108,322.87,1550.6
2000-07-10,1475.62,2121.11,837.59,508.468,326.62,1557.57
2000-07-11,1480.88,2133.12,845.51,512.617,325.72,1563.08
2000-07-12,1492.92,2135.49,859.34,510.986,323.93,1554.57
2000-07-13,1495.84,2112.88,860.77,505.921,320.45,1561.52
2000-07-14,1509.98,2105.43,856.24,504.114,315.58,1553.89
2000-07-17,1510.49,2135.55,846.33,506.802,,1546.6
2000-07-18,1493.74,2139.6,838.03,507.045,313.39,1528.85
2000-07-19,1481.96,2175.31,840.85,513.778,314.54,1516.99
2000-07-20,1495.57,2173.41,835.3,513.393,307.85,1489.47
2000-07-21,1480.19,2161.02,831.08,508.794,305.66,1479.46
2000-07-24,1464.29,2133.67,822.89,506.94,293.13,1477.8
2000-07-25,1474.47,2135.23,819.88,499.677,295.59,1481.6
2000-07-26,1452.42,2106.92,814.96,496.691,291.43,1478.33
2000-07-27,1449.62,2086.33,807.81,499.179,294.22,1448.9
2000-07-28,1419.89,2062.93,799.09,498.804,291.6,1437.08
