Date,DBS.SP.Equity,OCBC.SP.Equity,UOB.SP.Equity
2009-07-28,1.2879,1.5352,1.7122
2009-07-29,1.2541,1.5291,1.6629
2009-07-30,1.2935,1.5697,1.7339
2009-07-31,1.3029,1.5838,1.7418
2009-08-03,1.3086,1.5798,1.7398
2009-08-04,1.286,1.5595,1.7043
2009-08-05,1.2579,1.5352,1.6373
2009-08-06,1.2485,1.5352,1.6097
2009-08-07,1.2053,1.5048,1.6038
2009-08-11,1.2128,1.5595,1.6354
2009-08-12,1.1847,1.5534,1.6157
2009-08-13,1.2016,1.596,1.6354
2009-08-14,1.2128,1.5899,1.6472
2009-08-17,1.1828,1.5453,1.6078
2009-08-18,1.1903,1.5737,1.6294
2009-08-19,1.1809,1.5555,1.5881
2009-08-20,1.1903,1.5859,1.6117
2009-08-21,1.1884,1.5697,1.6019
2009-08-24,1.2128,1.6203,1.6551
2009-08-25,1.226,1.6162,1.6551
2009-08-26,1.2203,1.6385,1.6629
2009-08-27,1.2091,1.6446,1.6767
2009-08-28,1.2109,1.6608,1.6787
2009-08-31,1.1865,1.5676,1.6452
2009-09-01,1.194,1.5717,1.6748
2009-09-02,1.1959,1.5534,1.657
2009-09-03,1.1978,1.5656,1.6728
2009-09-04,1.2034,1.598,1.6728
2009-09-07,1.2166,1.6,1.6846
2009-09-08,1.2166,1.6081,1.6925
2009-09-09,1.2109,1.5899,1.6846
2009-09-10,1.2241,1.596,1.6886
2009-09-11,1.2297,1.5859,1.661
2009-09-14,1.2128,1.5676,1.6452
2009-09-15,1.2166,1.5616,1.6531
2009-09-16,1.241,1.5717,1.6649
2009-09-17,1.2654,1.5859,1.6748
2009-09-18,1.2353,1.5838,1.6373
2009-09-22,1.2485,1.596,1.661
2009-09-23,1.2335,1.6,1.6472
2009-09-24,1.2166,1.5717,1.6393
2009-09-25,1.2278,1.5697,1.6551
2009-09-28,1.2147,1.5575,1.6334
2009-09-29,1.2297,1.5697,1.6393
2009-09-30,1.2115,1.5734,1.5727
2009-10-01,1.1878,1.5473,1.5521
2009-10-02,1.1659,1.5233,1.5277
2009-10-05,1.1495,1.5053,1.5408
2009-10-06,1.1677,1.5213,1.5371
2009-10-07,1.1768,1.5273,1.5502
2009-10-08,1.1841,1.5253,1.5521
2009-10-09,1.1768,1.5273,1.5389
2009-10-12,1.1859,1.5393,1.5689
2009-10-13,1.1841,1.5333,1.5558
2009-10-14,1.2024,1.5393,1.5914
2009-10-15,1.217,1.5233,1.6064
2009-10-16,1.217,1.5433,1.6083
2009-10-19,1.217,1.5433,1.612
2009-10-20,1.217,1.5253,1.627
2009-10-21,1.1969,1.5233,1.6402
2009-10-22,1.1823,1.5253,1.6139
2009-10-23,1.1859,1.5293,1.6308
2009-10-26,1.1823,1.5273,1.6402
2009-10-27,1.1805,1.5093,1.6308
2009-10-28,1.1841,1.5093,1.5877
2009-10-29,1.1786,1.5333,1.5671
2009-10-30,1.1914,1.5353,1.6008
2009-11-02,1.1896,1.5293,1.6195
2009-11-03,1.1823,1.5213,1.6327
2009-11-04,1.1896,1.5473,1.657
2009-11-05,1.1841,1.5433,1.6327
2009-11-06,1.2206,1.5734,1.6645
2009-11-09,1.2516,1.5834,1.687
2009-11-10,1.2717,1.5975,1.7245
2009-11-11,1.2899,1.6335,1.7508
2009-11-12,1.2881,1.6295,1.7733
2009-11-13,1.2899,1.6355,1.777
2009-11-16,1.3283,1.7037,1.8688
2009-11-17,1.341,1.6937,1.8426
2009-11-18,1.3301,1.6756,1.8164
2009-11-19,1.3319,1.6957,1.8276
2009-11-20,1.3556,1.6997,1.8257
2009-11-23,1.3848,1.7398,1.8576
2009-11-24,1.352,1.7037,1.8276
2009-11-25,1.3757,1.7197,1.8314
2009-11-26,1.3465,1.6856,1.7826
2009-11-30,1.3064,1.6796,1.7658
2009-12-01,1.31,1.7157,1.8182
2009-12-02,1.3264,1.7297,1.8482
2009-12-03,1.341,1.7438,1.8632
2009-12-04,1.3483,1.7217,1.8295
2009-12-07,1.3538,1.7017,1.8276
2009-12-08,1.3556,1.7077,1.8464
2009-12-09,1.3392,1.7277,1.8688
2009-12-10,1.3301,1.7077,1.8595
2009-12-11,1.3483,1.7337,1.8557
2009-12-14,1.3483,1.7358,1.8445
2009-12-15,1.3465,1.7157,1.852
2009-12-16,1.3593,1.7418,1.852
2009-12-17,1.3575,1.7438,1.8332
2009-12-18,1.3502,1.7358,1.8182
2009-12-21,1.3283,1.7398,1.8051
2009-12-22,1.352,1.7919,1.8107
2009-12-23,1.3666,1.7879,1.822
2009-12-24,1.3739,1.7879,1.8201
2009-12-28,1.383,1.8039,1.822
2009-12-29,1.3958,1.8119,1.8239
2009-12-30,1.3958,1.8199,1.8445
2009-12-31,1.3942,1.7216,1.7621
2010-01-04,1.3851,1.7046,1.7585
2010-01-05,1.4032,1.7178,1.7549
2010-01-06,1.4032,1.7178,1.78
2010-01-07,1.3869,1.7008,1.78
2010-01-08,1.3924,1.6857,1.7818
2010-01-11,1.3887,1.6648,1.7782
2010-01-12,1.3743,1.6667,1.7603
2010-01-13,1.3598,1.6573,1.7388
2010-01-14,1.3688,1.6611,1.7478
2010-01-15,1.3706,1.6648,1.737
2010-01-18,1.3706,1.6611,1.7353
2010-01-19,1.3706,1.6478,1.7388
2010-01-20,1.3598,1.6346,1.7174
2010-01-21,1.3634,1.6157,1.6995
2010-01-22,1.3417,1.5986,1.6744
2010-01-25,1.3308,1.5873,1.6673
2010-01-26,1.2873,1.5513,1.6154
2010-01-27,1.2674,1.5286,1.6029
2010-01-28,1.2964,1.5797,1.6369
2010-01-29,1.2928,1.5494,1.6243
2010-02-01,1.2819,1.5627,1.6315
2010-02-02,1.2747,1.5494,1.619
2010-02-03,1.3127,1.5797,1.6583
2010-02-04,1.2855,1.5608,1.6458
2010-02-05,1.271,1.5305,1.61
2010-02-08,1.291,1.5589,1.6333
2010-02-09,1.3036,1.6024,1.6816
2010-02-10,1.2837,1.5816,1.6494
2010-02-11,1.2837,1.6062,1.6458
2010-02-12,1.2837,1.6081,1.6476
2010-02-17,1.291,1.627,1.6691
2010-02-18,1.2783,1.6119,1.6565
2010-02-19,1.2765,1.6157,1.6637
2010-02-22,1.271,1.6194,1.6655
2010-02-23,1.2855,1.6346,1.6798
2010-02-24,1.271,1.6213,1.6637
2010-02-25,1.2674,1.61,1.678
2010-02-26,1.2674,1.6062,1.6673
2010-03-01,1.2837,1.6062,1.644
2010-03-02,1.2855,1.5986,1.6279
2010-03-03,1.2837,1.61,1.6208
2010-03-04,1.2747,1.6062,1.6154
2010-03-05,1.2729,1.6138,1.5975
2010-03-08,1.2855,1.6459,1.6279
2010-03-09,1.2747,1.6403,1.6154
2010-03-10,1.2765,1.6516,1.6261
2010-03-11,1.2837,1.6705,1.6565
2010-03-12,1.2946,1.68,1.6726
2010-03-15,1.2873,1.663,1.6494
2010-03-16,1.2982,1.6932,1.6619
2010-03-17,1.3073,1.7121,1.6977
2010-03-18,1.3199,1.68,1.7227
2010-03-19,1.2783,1.6838,1.7388
2010-03-22,1.3,1.6497,1.7227
2010-03-23,1.3217,1.6516,1.7424
2010-03-24,1.3109,1.6459,1.7388
2010-03-25,1.3073,1.644,1.7406
2010-03-26,1.3217,1.6478,1.7424
2010-03-29,1.3272,1.6686,1.7585
2010-03-30,1.3181,1.6857,1.7675
2010-03-31,1.2554,1.5801,1.6283
2010-04-01,1.2782,1.6091,1.6655
2010-04-05,1.2852,1.6182,1.6655
2010-04-06,1.2887,1.6073,1.6723
2010-04-07,1.2922,1.6164,1.6774
2010-04-08,1.287,1.62,1.6808
2010-04-09,1.2887,1.62,1.6808
2010-04-12,1.3116,1.6273,1.6893
2010-04-13,1.301,1.6237,1.6893
2010-04-14,1.3607,1.6618,1.7689
2010-04-15,1.3642,1.6599,1.7689
2010-04-16,1.359,1.6618,1.7333
2010-04-19,1.3484,1.6291,1.7045
2010-04-20,1.3432,1.6364,1.7181
2010-04-21,1.3484,1.6273,1.7096
2010-04-22,1.3484,1.62,1.7079
2010-04-23,1.359,1.5983,1.713
2010-04-26,1.3642,1.5983,1.7164
2010-04-27,1.3677,1.5983,1.7028
2010-04-28,1.3309,1.5692,1.6706
2010-04-29,1.3432,1.5765,1.7079
2010-04-30,1.3432,1.5964,1.7215
2010-05-03,1.3256,1.5892,1.7147
2010-05-04,1.3045,1.5584,1.6791
2010-05-05,1.2852,1.5584,1.6554
2010-05-06,1.287,1.5674,1.6367
2010-05-07,1.2606,1.5511,1.5859
2010-05-10,1.2852,1.6055,1.6452
2010-05-11,1.2642,1.6055,1.6045
2010-05-12,1.2677,1.62,1.6232
2010-05-13,1.2712,1.6037,1.6232
2010-05-14,1.2606,1.6055,1.6079
2010-05-17,1.2624,1.6037,1.6266
2010-05-18,1.2589,1.6037,1.613
2010-05-19,1.2466,1.5602,1.5927
2010-05-20,1.222,1.5511,1.591
2010-05-21,1.1939,1.5148,1.5639
2010-05-24,1.1939,1.5257,1.5774
2010-05-25,1.1676,1.5021,1.5249
2010-05-26,1.1869,1.4695,1.5351
2010-05-27,1.2097,1.5166,1.5385
2010-05-31,1.229,1.5112,1.5334
2010-06-01,1.2027,1.4876,1.5249
2010-06-02,1.1869,1.4967,1.5639
2010-06-03,1.2009,1.5529,1.6215
2010-06-04,1.2097,1.5511,1.6333
2010-06-07,1.1764,1.5003,1.5825
2010-06-08,1.1711,1.5003,1.591
2010-06-09,1.1641,1.4985,1.5893
2010-06-10,1.1799,1.5076,1.6045
2010-06-11,1.1939,1.5094,1.6333
2010-06-14,1.2062,1.5221,1.6401
2010-06-15,1.208,1.5203,1.6435
2010-06-16,1.2027,1.5475,1.6537
2010-06-17,1.2045,1.5475,1.6605
2010-06-18,1.1922,1.5402,1.6588
2010-06-21,1.2273,1.5602,1.6689
2010-06-22,1.2273,1.5547,1.6706
2010-06-23,1.2203,1.5565,1.6706
2010-06-24,1.208,1.5493,1.6418
2010-06-25,1.1992,1.571,1.6571
2010-06-28,1.2167,1.6146,1.6825
2010-06-29,1.2062,1.5964,1.6435
2010-06-30,1.2279,1.4649,1.6546
2010-07-01,1.2351,1.4533,1.6445
2010-07-02,1.2459,1.4748,1.6529
2010-07-05,1.2477,1.4665,1.6563
2010-07-06,1.2531,1.4748,1.6597
2010-07-07,1.2387,1.4484,1.6327
2010-07-08,1.2549,1.4748,1.6563
2010-07-09,1.2782,1.483,1.6664
2010-07-12,1.2908,1.4863,1.663
2010-07-13,1.3033,1.4797,1.6731
2010-07-14,1.3267,1.4863,1.6765
2010-07-15,1.3123,1.4863,1.6698
2010-07-16,1.3285,1.4863,1.6765
2010-07-19,1.3069,1.4847,1.6597
2010-07-20,1.3033,1.4797,1.6445
2010-07-21,1.2872,1.4533,1.6242
2010-07-22,1.28,1.4533,1.6445
2010-07-23,1.2926,1.483,1.6327
2010-07-26,1.2818,1.4781,1.6529
2010-07-27,1.2962,1.4913,1.6664
2010-07-28,1.3033,1.5029,1.6613
